time_numeric,Sea_Ice_Concentration,NAO,AO,ENSO,solar_radiation,Central Arctic,Chukchi Sea,East Siberian Sea,Beaufort Sea,Canadian Archipelago,Laptev Sea,Kara Sea,Barents Sea
1980,-0.00625533,0.63,0.167,0.67,-10.546,-0.004027397,0.035742018,0.002519685,0.034942396,0.003570766,0.001897623,-0.001984561,-0.097249506
1980.083333,-0.00426567,0.72,-0.237,0.44,-1187.6,-0.002445608,-0.002033206,0.013736783,0.012062212,0.004295187,0.004347349,0.005601404,-0.113080974
1980.166667,-0.00331733,-1.09,-0.619,0.05,7243.17,0.006794521,-0.003941252,0.008848144,0.012831797,0.004108378,0.005025594,-0.000401404,-0.137460171
1980.25,-0.00027514,3,0.738,-0.09,-9250.2,-0.001056406,0.017458493,0.004069741,0.019073733,-0.000178253,-0.003040219,-0.013263158,-0.17680316
1980.333333,-0.0017232,-0.47,-0.905,0.33,-33706.24,-0.004086221,0.044947637,0.002661417,0.05493318,-0.0050082,-0.029956124,-0.014808421,-0.161437788
1980.416667,-0.00411956,-1.97,-0.212,0.5,40959.15,-0.006121676,-0.006485313,-0.055178853,-0.013539171,-0.039078788,-0.017122486,0.035357193,-0.088726794
1980.5,-0.00201988,-1.25,-0.661,0.41,-5048.7,0.017936342,-0.029624521,-0.074042745,-0.037771889,-0.017828164,-0.066765996,0.038465965,-0.006516129
1980.583333,-0.00122986,-3.2,0.499,-0.28,19473.85,0.008499597,0.068104725,-0.063500562,0.004177419,-0.104604635,-0.098478976,0.087607018,0.003441738
1980.666667,0.00309946,-0.35,0.359,-0.56,163.78,0.052059629,0.15546871,-0.114341957,0.146158986,-0.067308378,-0.133268739,0.108647018,0.00598815
1980.75,0.00329687,-1.47,0.722,-0.37,-2642.16,0.026792909,0.17141507,-0.017460067,0.052016129,-0.029069519,-0.072076782,0.012861754,0.044728111
1980.833333,0.00425907,-0.9,-1.836,-0.39,251.378,0.018134569,0.05842401,0.00152081,-0.015400922,-0.001490196,0.008778793,-0.007924211,0.121869651
1980.916667,0.00164056,-0.22,-1.352,-0.47,-204.5469,0.000782434,-0.00265645,-0.004368954,-0.030105991,-0.003262745,-0.006981718,-0.005427368,0.079965767
1981,-0.0003221,1.12,1.95,-0.9,-787.0475,0.003371475,0.005144317,0.010413948,-0.026096774,-0.003175758,-0.012998172,-0.019222456,0.010547729
1981.083333,-0.00438413,0.87,0.602,-0.86,2587.22,-0.0031805,0.016464879,-0.008314961,-0.008288018,-0.003716221,-0.004691042,-0.004050526,-0.045500987
1981.166667,-0.00420541,-0.88,-0.212,-0.67,1072.09,-0.001232877,0.017381865,-0.000312711,0.003191244,0.001083779,-0.00571298,0.000891228,0.058612245
1981.25,-0.00452816,-0.93,0.849,-0.46,-3670.6,-0.002813054,-0.011215837,-0.008121485,7.14E-05,-0.002765062,-0.000736746,0.008158596,0.120587228
